id,audio_path,lyrics,language,genre
jam_0,/content/project/data/audio/jamendolyrics/jam_0000.mp3,"même si mon réveil ne sonne pas
et qu'on m'attend c'est important
même si ya plus d'filtres à café
et qu'il m'faut ça pour démarrer
même si putain j'trouve plus les clés
de ma bagnole qu'est plus garée
là où elle s'endort tous les soirs
on m'la chourrer c'est un cauchemar

de bonne humeur même de bonne heure
je prends les choses avec douceur
de bonne humeur même de bonne heure
il en faut plus pour m'donner des sueurs

même si j'traîne les pieds dans la rue
et qu'mon briquet à disparu
même si les rumeurs sur mon compte
s'amplifient à chaque secondes
même si on m'attends au bureau
j'suis quand même vert pour ma clio
et quand bien même j'ai de l'herpès
je n'oublie pas qu'il faut qu'je reste

de bonne humeur même de bonne heure
je prends les choses avec douceur
de bonne humeur même de bonne heure
il en faut plus pour m'donner des sueurs

même si j'ai pas les numéros
gagnant au tirage du loto
même si je me suis fait virer
car mon réveil n'a pas sonné
même si ma copine s'est tapé
le fils du voisin de palier
même si je ressens un p'tit stress
je n'oublie pas qu'il faut qu'je reste

de bonne humeur même de bonne heure
je prends les choses avec douceur
de bonne humeur ouais même de bonne heure
il en faut plus pour m'donner des sueurs

de bonne humeur même de bonne heure
je prends les choses avec douceur
de bonne humeur ouais même de bonne heure
il en faut plus pour m'donner des sueurs",fr,Pop
jam_1,/content/project/data/audio/jamendolyrics/jam_0001.mp3,"ich habe keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen
ich habe keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen

ich habe keine lust darauf
dass du mich ständig korrigierst
mir sagst was ich zu tun hab
und es selber nicht probierst
keine lust darauf
dass du ewig dazwischenfunkst
mir dauernd alles vorhältst
und es selber nicht versuchst

keine lust darauf
immer das selbe zu hören
hältst es wohl nicht für möglich
dass mich sowas manchmal stört
keine lust darauf
immer das selbe zu tun
ich hab keinen bock mehr drauf
also lass mich doch in ruh'

keine lust
nein nein nein nein
keine lust
ich hab keine lust
nein nein nein nein
keine lust ey

ich habe keine lust darauf
dass du mich ewig fertig machst
mich immer kritisierst
und dabei selber gar nichts schaffst

keine lust dadurch
dass du dauernd etwas hast
nie passt dir was
sondern sagst ich hätt' versagt

keine lust darauf
meistens schuld zu sein
du kriegst gar nichts auf die reihe
und lässt dich auf nichts ein

keine lust darauf
immer lust haben zu müssen
schließlich musst du ja
immer alles besser wissen

keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen
ich habe keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen

ich hab keine lust
nein nein nein nein
keine lust
ich hab keine lust
nein nein nein nein
keine lust ey

ich hab keine lust darauf
das du mich ständig attackierst
mir sagst was ich zutun hab
und es selber nicht probierst

keine lust darauf
dass du ewig dazwischen funkst
mir dauernd alles vorhältst
und es selber nicht versuchst

keine lust darauf
immer das selbe zu hören
hältst es wohl nicht für möglich
dass mich sowas manchmal stört

keine lust darauf
immer das selbe zu tun
ich habe kein bock mehr drauf
also lass mich doch in ruh'

keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen
ich habe keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen

ich hab keine lust
nein nein nein nein
keine lust
ich hab keine lust
nein nein nein nein
keine lust ey

ich hab keine lust
nein nein nein nein
keine lust
ich hab keine lust
nein nein nein nein
keine lust ey

ich hab keine lust
nein nein nein nein
keine lust
ich hab keine lust
nein nein nein nein
keine lust
nein nein nein nein

keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen
ich habe keine lust mir das leben
von deppen vermasseln zu lassen
sag mir nicht
ich könnte was besser machen

ich hab keine lust
nein nein nein nein
keine lust
ich hab keine lust
nein nein nein nein
keine lust ey

ich hab keine lust
ich hab keine lust
ich hab keine lust
ich hab keine lust
ich hab keine lust",de,Reggae
jam_2,/content/project/data/audio/jamendolyrics/jam_0002.mp3,"komm her komm her komm her zu mir
du hast drei wünsche frei komm und sag was wünschst du dir
komm her komm her komm her mein kind
ich hab' für dich drei nüsse die für deine wünsche sind

drei nüsse das ist cool mann wie im film vom aschenbrödel
endlich schluss mit all den sorgen von gestern
heute und morgen geht nur noch die party ab her mit den nüssen
ich geh ins kdw zum shoppen korken knallen hüllen fallen und die popkörner poppen
nie wieder das gerödel und nie wieder füsse küssen
meine eier muss ich nicht mehr bei der nachbarin ausborgen
ich nehm geld auto yacht 'n paar von den krassesten schnitten
du weißt die echten luxusteile mit den monster großen augen
und die andere sollen sich meine tracks aus dem netz runtersaugen
ich sag an was geht und muss nicht mehr um anerkennung bitten

komm her komm her komm her zu mir
du hast drei wünsche frei komm und sag was wünschst du dir
komm her komm her komm her mein kind
ich hab' für dich drei nüsse die für deine wünsche sind

ok das war 'n bisschen viel
ich nehm' nur cash die anderen sachen kann ich kaufen obwohl
dann würd' ich nicht in der rotation laufen
wunsch nr zwei ist also ein fetter hit aber nein
da fällt mir ein gedopter erfolg kann nicht befriedigend sein
ok also was ist mit den weibern
ich als hahn im korb voll mit gepiercten leibern ist das wirklich geil
mechanischer sex und von keiner geliebt
und keine die auf mich von herzen auch nur zehn cent gibt
das ist doch scheisse mann
ich bin nicht wie die leitenden reichen auf ihren riesigen booten
die sich liebe kaufen
die seelisch toten
wer steht schon auf den sex und style der reitenden leichen

komm her komm her komm her zu mir
du hast drei wünsche frei komm und sag was wünschst du dir
komm her komm her komm her mein kind
ich hab' für dich drei nüsse die für deine wünsche sind

und überhaupt es wär' doch traurig auf der yacht rumzulungern während anderswo die menschen verhungern
und jeden tag die hummerstückchen aus der schale zu nagen
wenn nebenan die raketen in wohnzimmern einschlagen
also bleibt nur das auto
aber könnte ein leben sinnloser sein
da kommt ne fee du hast drei wünsche frei und dir fällt nur auto ein
für die wichtigen dinge liebe glück und respekt reicht kein frommer wunsch
das hab ich gecheckt
du gehst mir voll auf die nüsse fee
keiner hat dich hier vermisst
also pack deine scheiß nüsse ein verpiss dich
you are dismissed

komm her komm her komm her zu mir
du hast drei wünsche frei komm und sag was wünschst du dir
komm her komm her komm her mein kind
ich hab' für dich drei nüsse die für deine wünsche sind

komm her komm her komm her zu mir
du hast drei wünsche frei komm und sag was wünschst du dir
komm her komm her komm her mein kind
ich hab' für dich drei nüsse die für deine wünsche sind",de,Pop
jam_3,/content/project/data/audio/jamendolyrics/jam_0003.mp3,"oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha

quand vient l'hiver je l'attends comme les cloches sonnent en automne
sur cette air je m'émerveille quand viennent les souhaits que je fredonne
une mélodie de noël pour des nostalgies d'enfance
juste un regard vers le ciel toi et moi quand j'y repense
j'attendrais si il le faut un couplet et quelques voeux
ce soir quand il fera chaud quelques heures au coin du feu

christmas christmas all i want is only you
christmas christmas notre amour en rendez vous

oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha

quand vient l'hiver je l'attends comme les cloches sonnent en automne
sur cette air je m'émerveille quand viennent les souhaits que je fredonne
une mélodie de noël pour des nostalgies d'enfance
juste un regard vers le ciel toi et moi quand j'y repense
j'attendrais si il le faut un couplet et quelques voeux
ce soir quand il fera chaud quelques heures au coin du feu
un seul souhait oui j'aimerais merry christmas everyday
te revoir même qu'une fois christmas christmas avec toi
j'attendrais jusqu'au matin un happy end un refrain

christmas christmas all i want is only you
christmas christmas notre amour en rendez vous
christmas christmas all i want is only you
christmas christmas un regard quelques mots doux

oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha

oh ah ah oh ah ah oh ahha
oh ah ah oh ah ah oh ahha

christmas christmas all i want is only you
christmas christmas notre amour en rendez vous
christmas christmas all i want is only you
christmas christmas all i want is only you
christmas christmas un regard quelques mots doux",fr,Pop
jam_4,/content/project/data/audio/jamendolyrics/jam_0004.mp3,"die welt um mich herum bewegt sich stetig
alles rauscht nur so an mir vorbei
sehe alles nur verschleiert scheint so weit weg doch ist es hier
ich fühle mich hypnotisiert

und von weit entfernt höre ich ein geräusch
ein zarter klang der mein herz erfreut

musik du bist zurück
um mich mit liebe aufzufüllen
um meine seele zu berühren
sind die depressionen auch noch so groß
holst du mich immer wieder raus
gibst mir mut und kraft für jeden neuen tag
wäre ich taub oder wäre ich stumm
hätte ich all diese lieder nie gesungen
hätte ich nicht mal gewusst wie mir jetzt geschieht
musik du bist zurück
um mich mit liebe aufzufüllen
um meine seele zu berühren

die erde kreist und kreist sie dreht sich ewig
alles kommt und zieht vorbei
suche ordnung in dem chaos suche frieden in dem krieg
und wunder mich warum's nicht geht

und von weit entfernt höre ich ein geräusch
ein zarter klang der mein herz erfreut

musik du bist zurück
um mich mit liebe aufzufüllen
um meine seele zu berühren
sind die depressionen auch noch so groß
holst du mich immer wieder raus
gibst mir mut und kraft für jeden neuen tag
wäre ich taub oder wäre ich stumm
hätte ich all diese lieder nie gesungen
hätte ich nicht mal gewusst wie mir jetzt geschieht
musik du bist zurück
um mich mit liebe aufzufüllen
um meine seele zu berühren",de,Pop
jam_5,/content/project/data/audio/jamendolyrics/jam_0005.mp3,"wo gibts den besten milchkaffee
himbeer oder roiibusch tee
wo gibt es frühstück bis nach zwei
cafe jenseitz

wo wird man immer nett begrüßt
wo tuckt der chef in der kombüse
wo sieht man dir gern auf dein teil
cafe jenseitz

wo dreht man gleich den kopf zurück
nur weil ein gast die klinke drückt
wo sitzt man gerne auch zu zweit
im cafe jenseitz

wo gibt es bowle mal umsonst
wenn du zur grand prix party kommst
wo kassierst du sechzig euro dann
im cafe jenseitz
das cafe für den mann",de,Electronic
jam_6,/content/project/data/audio/jamendolyrics/jam_0006.mp3,"lay awake at night
wondering how could i
let it get this way
through all the pain
i took all the blame
while you cursed my last name
i thought we could get better
stayed committed like a soldier
believed we're okay
now i know that you don't care at all
time wasted
gave all of my soul and my heart to someone that would never
give me the same
i was a fool to believe that you would finally be the one to
give me the same
heartbroken now
how you let me down
but somehow deep down i still do
love you
now your out all night
telling your lies
about the way i hurt you
they couldn't see the way
you made me feel ashamed
for choosing to love you
i began to see clearer
that you were just a liar
stuck in your ways
so now i choose to walk away forever
time wasted
gave all of my soul and my heart to someone that would never
give me the same
i was a fool to believe that you would finally be the one to
give me the same
heartbroken now
how you let me down
but somehow deep down i still do
love you
how could you just throw it all away babe
how could you throw it all away
i stayed with you through all the lies and pain
through all the lies and pain oh
tears roll down my eyes
tears roll down my eyes
as i now realize
your love was never truly mine
at all
time wasted
gave all of my soul and my heart to someone that would never
give me the same
i was a fool to believe that you you would finally be the one too
give me the same
heartbroken now
heartbroken now
how you let me down
oh
but somehow how deep down i still do
love you",en,Pop
jam_7,/content/project/data/audio/jamendolyrics/jam_0007.mp3,"uu huu huu huu na na na nay na na na nay
yo digo miedo miedo nos engañan con el miedo chilli boop haay
miedo miedo nos engañan con el miedo te lo digo a ti
miedo miedo nos engañan con el miedo no
miedo miedo nos engañan con el miedo
nuevo mecanismo de control miedo para la poblacion
dominacion mediante el terror
cada dia vemos en television
atentados guerras muertes y destruccion
pero nadie se encarga de decir la verdad de la situacion
porque si se
miedo miedo nos engañan con el miedo chilli boop haay
miedo miedo nos engañan con el miedo te lo digo a ti
miedo miedo nos engañan con el miedo no
miedo miedo nos engañan con el miedo
mr money esta detras del miedo
imponiendo su ley all over the world
todo se compra todo se vende
almas cuerpos vidas inocentes
todo se compra todo se vende
almas cuerpos vidas inocentes
miedo miedo nos engañan con el miedo chilli boop haay
miedo miedo nos engañan con el miedo te lo digo a ti
miedo miedo nos engañan con el miedo no
miedo miedo nos engañan con el miedo
mercado de preocupacion consumo excesivo como evasion
trabajo trabajo ocupa el tiempo
a cambio de dinero tu esfuerzo y sudor no no
a cambio de dinero tu esfuerzo y sudor no
porque si se miedo miedo nos engañan con el miedo chilli boop haay
miedo miedo nos engañan con el miedo te lo digo a ti
miedo miedo nos engañan con el miedo no
miedo miedo nos engañan con el miedo no no no",es,Reggae
jam_8,/content/project/data/audio/jamendolyrics/jam_0008.mp3,"que bueno que swipeaste a la derecha mama
porque a esta noche le daremos movimiento
q'uno'o dos tequilas solo pa' calentar
mira que aqui estamos pa' disfrutar el momento

show me what you got oh baby dance for me y me das
toda tu pasion y tu sudor mas vete lento
que no tengo prisa que esta noche da pa' mas
muévete cerquita aqui no mas

baila baila hasta que me enamores baby tu
baila baila probaré tus sabores baby tu
baila baila enséñame tus colores baby tu
baila baila al beat de mi corazon

toma mi mano y dame tu espalda
y lentamente sentiré como me bailas
muévete rico que no hay palabras
pa' describir como en mi cielo tu te empalmas

mueve tus pies que bien sabés
que yo contigo desde el bungee y sin arnés
y al oido yo te diré
que el dirty talk se nos vendra hasta en inglés oh yes

baila baila hasta que me enamores baby tu
baila baila probaré tus sabores baby tu
baila baila enséñame tus colores baby tu
baila baila al beat de mi corazon

y a la luna llena le daremos calor
y esta noche entera pintara de colores
baby tu me bailas y me llegan los temblores
porque con tus labios tu me das tos' los sabores

sabes que este mundo no es lo mismo sin tu amor
damelo todo que yo lo acomodo
damelo al max que el mio lo tendras
llenémonos de besos que hoy somos traviesos en exceso

baila baila hasta que me enamores baby tu
baila baila probaré tus sabores baby tu
baila baila enséñame tus colores baby tu
baila baila al beat de mi corazon",es,Pop
jam_9,/content/project/data/audio/jamendolyrics/jam_0009.mp3,"weißt du noch damals
als wir durch die straßen gingen
weißt du noch damals
als die revolution in den köpfen war

und damals dachten sie
sie wären unbesiegbar
und damals fühlten sie sich
zusammen einfach unschlagbar

heute sind sie
in seattle und cancun
streiten für freiheit
und für revoluzzer ruhm

sie rufen gemeinsam
zur letzten großen schlacht
den hüttenfrieden
rohe gewalt kostet macht

und ich steh' auf der straße ich steh auf der straße
und weiß nicht was soll ich und weiß nicht was soll ich
ich bin nicht dagegen ich bin nicht dagegen
ich bin nicht dafür und ich bin nicht dafür

ich fühl meine ohnmacht ich fühl meine ohnmacht
und geh jetzt nach hause und geh jetzt nach hause
wo seid ihr denn alle wo seid ihr denn alle
die bühne gehört jetzt dir

die revolution gehört die revolution
die revolution gehört die revolution
die revolution gehört die revolution
die revolution gehört die revolution",de,Indie
